tau,N_12,N_27
5.25,5.846359131519951,5.844317744758781
5.502525252525253,5.806097540320199,5.804003157856097
5.755050505050505,5.770764224455864,5.768609983531953
6.007575757575758,5.739675524538461,5.737454015464954
6.26010101010101,5.712270447818472,5.709973623764476
6.512626262626263,5.688081823828429,5.68570089489262
6.765151515151516,5.666715399100812,5.664240722855535
7.017676767676767,5.647834573252067,5.645255550818766
7.27020202020202,5.631149147960288,5.628454131744326
7.5227272727272725,5.616406933565017,5.613583150259892
7.775252525252525,5.603387394366772,5.600420884822303
8.027777777777779,5.591896753273953,5.5887723293177265
8.280303030303031,5.581764146989243,5.578465364250297
8.532828282828282,5.57283854402168,5.569347689156534
8.785353535353535,5.564986223443026,5.561284313823973
9.037878787878787,5.558088672555686,5.554155466369845
9.29040404040404,5.552040803790029,5.547854818544643
9.542929292929292,5.546749420467659,5.542287958045156
9.795454545454545,5.542131881349034,5.537371057960099
10.047979797979798,5.538114927848907,5.533029707460768
10.30050505050505,5.534633647388561,5.529197877436844
10.553030303030303,5.53163055292799,5.5258170013392895
10.805555555555555,5.529054763242413,5.522835155993157
11.058080808080808,5.52686127164075,5.520206330251928
11.31060606060606,5.525010293025771,5.51788977154168
11.563131313131313,5.523466680777114,5.51584940190035
11.815656565656566,5.522199406108093,5.514053296264489
12.068181818181818,5.521181093443961,5.512473216632645
12.320707070707071,5.52038760608417,5.511084196431968
12.573232323232324,5.519797677003139,5.509864169992006
12.825757575757576,5.519392580151016,5.50879364252428
13.078282828282829,5.519155838061416,5.5078553964418155
13.330808080808081,5.519072961972388,5.50703423024392
13.583333333333334,5.519131221028787,5.506316726547021
13.835858585858587,5.519319437464811,5.505691046167877
14.08838383838384,5.5196278049682315,5.505146745464395
14.340909090909092,5.520047727705368,5.504674614413826
14.593434343434344,5.520571677739974,5.504266533160061
14.845959595959595,5.521193068811325,5.503915344992279
15.098484848484848,5.52190614464838,5.503614743927774
15.3510101010101,5.522705880189184,5.503359175263281
15.603535353535353,5.523587894248858,5.503143747633048
15.856060606060606,5.524548372337068,5.502964155269129
16.108585858585858,5.525583998467685,5.502816609301368
16.36111111111111,5.526691894931086,5.502697777062268
16.613636363636363,5.527869569113955,5.502604728476707
16.866161616161616,5.529114866554021,5.502534888719249
17.11868686868687,5.530425929508805,5.502485996413797
17.37121212121212,5.531801160399197,5.5024560667324565
17.623737373737374,5.533239189561585,5.50244335882371
17.876262626262626,5.5347388468070555,5.502446347065188
18.12878787878788,5.5362991363438745,5.502463695694355
18.38131313131313,5.537919214670591,5.502494236421905
18.633838383838384,5.539598371092553,5.5025369486784275
18.886363636363637,5.541336010554864,5.502590942185446
19.13888888888889,5.543131638520472,5.502655441577864
19.391414141414142,5.544984847653682,5.502729772836706
19.643939393939394,5.546895306097281,5.502813351319199
19.896464646464647,5.548862747156231,5.502905671198159
20.1489898989899,5.5508869602227255,5.503006296144715
20.401515151515152,5.552967782796684,5.503114851107847
20.654040404040405,5.5551050934729105,5.503231015061468
20.906565656565657,5.557298805781123,5.503354514604948
21.15909090909091,5.559548862778474,5.503485118316447
21.411616161616163,5.561855232305896,5.50362263177025
21.664141414141415,5.5642179028299745,5.5037668931397805
21.916666666666668,5.566636879801312,5.5039177693172014
22.16919191919192,5.5691121824683085,5.504075152488664
22.421717171717173,5.571643841092582,5.504238957111465
22.674242424242426,5.574231894518444,5.504409117245708
22.92676767676768,5.576876388054469,5.5045855841986615
23.17929292929293,5.579577371630126,5.50476832444496
23.431818181818183,5.582334898194751,5.504957317790139
23.684343434343436,5.585149022329979,5.505152555748823
23.93686868686869,5.588019799050161,5.505354040112291
24.189393939393938,5.590947282768249,5.505561781683132
24.44191919191919,5.593931526407288,5.5057757991573215
24.694444444444443,5.596972580639971,5.505996118136384
24.946969696969695,5.600070493240785,5.5062227702543485
25.199494949494948,5.603225308537078,5.506455792406019
25.4520202020202,5.606437066946982,5.506695226064662
25.704545454545453,5.6097058045935455,5.506941116678633
25.957070707070706,5.613031552985697,5.507193513137676
26.20959595959596,5.616414338757724,5.5074524673007605
26.46212121212121,5.619854183459974,5.507718033578232
26.714646464646464,5.6233511033943175,5.507990268561969
26.967171717171716,5.626905109488683,5.508269230697898
27.21969696969697,5.630516207205654,5.5085549799959805
27.47222222222222,5.634184396480682,5.5088475777732695
27.724747474747474,5.6379096716860575,5.509147086426229
27.977272727272727,5.64169202161716,5.509453569228901
28.22979797979798,5.645531429498004,5.509767090153929
28.482323232323232,5.649427873003387,5.510087713713824
28.734848484848484,5.653381324295316,5.510415504820111
28.987373737373737,5.657391750071649,5.510750528658307
29.23989898989899,5.661459111625135,5.511092850576944
29.492424242424242,5.665583364911274,5.511442535988982
29.744949494949495,5.669764460623601,5.511799650284255
29.997474747474747,5.674002344275154,5.512164258751659
30.25,5.678296956285082,5.512536426509993
